Episode no = 470; won: False; Q(s,a) = 37.371782737665704; reward = -505.0; and epsilon = 0.9373333333333334, win percentage = 0.0, 2024-05-06 07:03:12
Episode no = 480; won: False; Q(s,a) = 33.20638056170921; reward = -447.0; and epsilon = 0.9359999999999999, win percentage = 0.0, 2024-05-06 07:03:27
Episode no = 490; won: False; Q(s,a) = 37.75482365577474; reward = -471.0; and epsilon = 0.9346666666666666, win percentage = 0.0, 2024-05-06 07:04:04
Episode no = 500; won: False; Q(s,a) = 32.05200482501047; reward = -450.0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-05-06 07:04:22
Episode no = 510; won: False; Q(s,a) = 44.418548573196475; reward = -477.0; and epsilon = 0.9319999999999999, win percentage = 0.0, 2024-05-06 07:04:39
Episode no = 520; won: False; Q(s,a) = 32.22696789854376; reward = -510.0; and epsilon = 0.9306666666666666, win percentage = 0.0, 2024-05-06 07:04:50
Episode no = 530; won: False; Q(s,a) = 43.02046866409675; reward = -480.0; and epsilon = 0.9293333333333333, win percentage = 0.0, 2024-05-06 07:05:16
Episode no = 540; won: False; Q(s,a) = nan; reward = -478.0; and epsilon = 0.928, win percentage = 0.0, 2024-05-06 07:05:53
Episode no = 550; won: False; Q(s,a) = 39.93464595534902; reward = -493.0; and epsilon = 0.9266666666666666, win percentage = 0.0, 2024-05-06 07:06:16
Episode no = 560; won: False; Q(s,a) = 38.60077563833887; reward = -482.0; and epsilon = 0.9253333333333333, win percentage = 0.0, 2024-05-06 07:06:36
Episode no = 570; won: False; Q(s,a) = 44.39246634901256; reward = -487.0; and epsilon = 0.924, win percentage = 0.0, 2024-05-06 07:06:56
Episode no = 580; won: False; Q(s,a) = nan; reward = -487.0; and epsilon = 0.9226666666666666, win percentage = 0.0, 2024-05-06 07:07:06
Episode no = 590; won: False; Q(s,a) = nan; reward = -467.0; and epsilon = 0.9213333333333333, win percentage = 0.0, 2024-05-06 07:07:32
Episode no = 600; won: False; Q(s,a) = 39.7280499153634; reward = -422.0; and epsilon = 0.92, win percentage = 0.0, 2024-05-06 07:07:51
Episode no = 610; won: False; Q(s,a) = nan; reward = -464.0; and epsilon = 0.9186666666666666, win percentage = 0.0, 2024-05-06 07:08:01
Episode no = 620; won: False; Q(s,a) = 22.28858711987476; reward = -454.0; and epsilon = 0.9173333333333333, win percentage = 0.0, 2024-05-06 07:08:21
Episode no = 630; won: False; Q(s,a) = 50.550074439340094; reward = -494.0; and epsilon = 0.916, win percentage = 0.0, 2024-05-06 07:08:34
Episode no = 640; won: False; Q(s,a) = 44.197501639471; reward = -465.0; and epsilon = 0.9146666666666666, win percentage = 0.0, 2024-05-06 07:08:56
Episode no = 650; won: False; Q(s,a) = 45.80367152694668; reward = -397.0; and epsilon = 0.9133333333333333, win percentage = 0.0, 2024-05-06 07:09:12
Episode no = 660; won: False; Q(s,a) = 47.563827767246345; reward = -483.0; and epsilon = 0.912, win percentage = 0.0, 2024-05-06 07:09:26
Episode no = 670; won: False; Q(s,a) = 46.25649516020389; reward = -412.0; and epsilon = 0.9106666666666666, win percentage = 0.0, 2024-05-06 07:09:49
Episode no = 680; won: False; Q(s,a) = 17.93500250314513; reward = -449.0; and epsilon = 0.9093333333333333, win percentage = 0.0, 2024-05-06 07:10:00
Episode no = 690; won: False; Q(s,a) = nan; reward = -435.0; and epsilon = 0.908, win percentage = 0.0, 2024-05-06 07:10:12
Episode no = 700; won: False; Q(s,a) = 36.03113026587943; reward = -451.0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-05-06 07:10:22
